text,simplified_text
* +1 ** Maxsus boʻlim ** 1 “Tuproq klinikasi” markazi ** 6 Tuproqlar fizikasi va degradatsiyaga uchragan tuproqlar texnologiyasi boʻlimi,"+1 Maxsus bo'lim ""Tuproq klinikasi"" markazi Tuproqlar fizikasi va degradatsiyaga uchragan tuproqlar texnologiyasi bo'limi."
"maqbullashtirish boʻlimi * 1 Tuproq muzeyi ** 1 Andijon, Buxoro, Qashqadaryo va Xorazm viloyatlari mintaqaviy boʻlinmalari * 8 Kameral tahlil","tuproq muzeyi * 1 andijon, buxoro, qashqadaryo va xorazm viloyatlari * 8 kameral tahlil"
boʻlimi ** 10 “Tuproqshunoslik va agrokimyo” ilmiy jurnali ** 2 Tuproq agrokimyosi va oʻsimliklar oziqlanishini maqbullashtirish boʻlimi * 1 Kartografik,"boʻlimi 10 ""Tuproqshunoslik va agrokimyo"" jurnali 2 Tuproq agrokimyosi va oʻsimliklar oziqlanishini maqbullashtirish boʻlimi * 1 Kartografik"
tahlil boʻlimi ** 10 Tuproq geografik axborot tizimlari va pedometrika boʻlimi * 1 Organik dehqonchilik texnologiyalari boʻlimi*** 1 Tuproq eroziyasi,"tahlil boʻlimi - 10
tuproq geografik axborot tizimlari va pedometrika boʻlimi
organik dehqonchilik texnologiyalari boʻlimi - 1
tuproq eroziyasi"
"va eroziyalangan tuproqlarni muhofazalash, unumdorligini tiklash boʻlimi * 1 Tahliliy sinov laboratoriyasi * 1 Izoh.",Va eroziyalangan tupoqlarni muhofazalash va unumdorligini tiklash bo'limi. 1 Tahsilatli sinov laboratoriya. 1 Izoh.
Xodimlarning umumiy cheklangan soni 87 nafar (ilmiy yordamchi va yordamchi xodimlardan tashqari).,
Vazirlar Mahkamasining 2022-yil 19-iyuldagi 389-son qaroriga 2-ILOVA Oʻzbekiston Respublikasi Qishloq xoʻjaligi vazirligi huzuridagi Tuproqshunoslik va agrokimyoviy tadqiqotlar instituti mintaqaviy boʻlinmalarining,Vazirlar Mahkamasining 19-iyul 2022-yilda 389-qaroriga 2-ILOVA O'zbekiston Respublikasi Qishloq xo'jaligi vazirligi huzuridagi Tuproqshunoslik va agrokimyoviy tadqiqotlar instituti mintaqaviy bo'linmalarining
NAMUNAVIY TUZILMASI Direktor * Ilmiy-texnik kengash Direktorning ilmiy ishlar va innovatsiyalar boʻyicha oʻrinbosari * Xodimlar bilan ishlash boʻyicha bosh mutaxassis,NAMUNAVIY TUZILMASI Direktor * Ilmiy-texnik kengashning ilmiy ishlar va innovatsiyalar boʻyicha oʻrinbosari * Xodimlar bilan ishlash boʻyicha bosh mutaxassis
1 Ilmiy ishlanmalarni joriy etish va marketing boʻlimi ** 2 Axborot-kommunikatsiya texnologiyalari boʻyicha bosh mutaxassis ** 1 Dala ekspeditsiyasi boʻlimi,"1 Ilmiy ishlanmalarni joriy etish va marketing bo'limi  
2 Axborot-kommunikatsiya texnologiyalari bo'yicha bosh mutaxassis  
1 Dala ekspeditsiyasi bo'limi"
Xodimlarning umumiy cheklangan soni 22 nafar (ilmiy yordamchi va yordamchi xodimlardan tashqari).,Xodimlar to'taligi 22 nafar (ilmiy yordamchilar va xodimlarni o'z ichiga olmaymiz).
Нотариусларнинг ижро хатларига асосан қарзни ундириш сўзсиз амалга ошириладиган ҳужжатлар рўйхати иловага мувофиқ тасдиқлансин. 2.,
Вазирликлар ва идоралар ўз идоравий норматив ҳужжатларини мазкур қарорга мувофиқлаштирсинлар. 3.,
Мазкур қарорнинг бажарилишини назорат қилиш Ўзбекистон Республикаси Адлия вазири А.А.,Ўзбекистон Республикасы Адлия вазиринан Мазкур қарорнинг бажарилишини назорат қилилади А.А.
"НОТАРИАЛ ТАСДИҚЛАНГАН БИТИМЛАР БЎЙИЧА ҚАРЗНИ УНДИРИШ 1. Пул олиш, мулкни қайтариш ёки бериш билан боғлиқ нотариал тасдиқланган битимлар.","НОТАРИУМ ТАСДИҚЛАНГАН БИТИМЛАР БЎЙИЧА ҚАРЗНИ УНДИРИШ

1. Пул олиш, мулкни қайтариш ёки бериш билан боғлиқ нотариум тасдиқланган битимлар."
II. ҲИСОБ-КИТОБ ВА КРЕДИТ МУНОСАБАТЛАРИДАН КЕЛИБ ЧИҚАДИГАН АСОСЛАР БЎЙИЧА ҚАРЗНИ УНДИРИШ 2.,
Кредит муассасалари томонидан берилган кредитлар бўйича қарздорлар ва уларнинг кафиллари тўлов муддатини ўтказиб юборганлигига оид ҳужжатлар.,
Ижро хати олиш учун қуйидагилар тақдим этилади: а) унинг асосида қарз ундириладиган кредит шартномасининг асл нусхаси; Бунда нотариус томонидан кредит,Ижро хати олиш учун қуйидагилар тақдим этилади: а) унинг асосида қарз ундириладиган кредит шартномасининг асл нусхаси; б) нотариус томонидан кредит.
"шартномасидан нусха олиниб, унинг асли ундириб олувчига қайтариб берилади. (2-банднинг «а» кичик банди Ўзбекистон Республикаси Вазирлар Маҳкамасининг 2024 йил 18",
"декабрдаги 847-сонли қарорига асосан иккинчи хатбоши билан тўлдирилган — Қонунчилик маълумотлари миллий базаси, 24.12.2024 й., 09/24/847/1056-сон) б) ундириб олувчи томонидан","Декабрдаги 847-сонли қарорига асосан иккинчи хатобни тўлдиришти — Қонунчилик маълумотлари миллий базаси, 24.12.2024 й., 09/24/847/1056-сон) б) ундириб олувчи томонидан"
тасдиқланган қарздорнинг шахсий ҳисобварағи (карточкаси)дан қарз миқдори кўрсатилган кўчирма; в) нобанк кредит ташкилотлари олдидаги қарзни икки томонлама тасдиқловчи солиштириш далолатномаси.,тасдиқланган қарз миқдори карточкадан кўрсатилган; в) нобанк кредит ташкилотлари олдигин икки томонлама тасдиқловчи солиштириш.
IV. ЭЛЕКТР ЭНЕРГИЯСИ ЕТКАЗИБ БЕРУВЧИЛАРНИНГ ТАЛАБНОМАЛАРИ БЎЙИЧА ҚАРЗНИ УНДИРИШ 6.,
Фуқароларнинг электр энергиясидан фойдаланганлик учун электр энергияси етказиб берувчилар олдидаги қарздорлигини белгиловчи ҳужжатлар.,"Электр энергияси фуқароларга берилган учун, олдидаги қарздорлиги тўғри киритувчилар иштоболлари."
"Тўлов миқдори юзасидан суд низолари мавжуд бўлмаган ҳолларда турар жой ва яшаш учун мўлжалланмаган жойлар ижарачиси, арендага олувчисининг ижара, аренда","Тўлов миқдори юзасидан суд низолари мавжуд бўлмаган ҳолларда турар жой ва яшаш учун мўлжалланмаган жойлар ижарачиси, арендага олувчи."
"шартномалари (умумий харажатлар ва арендага, ижарага берувчининг норматив даромади) бўйича ва коммунал хизматлар учун тўловлар бўйича қарздорлигини белгиловчи ҳужжатлар. (7-банднинг",шартномалари ва коммуналь хизматлар учун тўловлар бўйича қарздорлигини белгиловчи ҳужжатлар. (7-банднинг)
"биринчи хатбоши Ўзбекистон Республикаси Вазирлар Маҳкамасининг 2007 йил 1 мартдаги 43-сонли қарори таҳририда — ЎР ҚҲТ, 2007 й., 9-10-сон, 85-модда)","Ўзбекистон Республикаси Вазирлар Маҳкамасининг 2007 йил 1 мартига 43-сонли қарори таҳририда — ЎР ҚҲТ, 2007 й., 9-10-сон, 85-модда."
Ижро хати олиш учун қуйидагилар тақдим этилади: а) қарзнинг ҳосил бўлишини тасдиқловчи шартноманинг ундириб олувчи томонидан тасдиқланган нусхаси; б) ўзаро,Ижро хати олиш учун қуйидагилар тақдим этилади: а) қарзнинг ҳосил бўлишини тасдиқловчи шартноманинг ундириб олувчи томонидан тасдиқланган нусхаси; б) ўзаро
ҳисоб-китобларни солиштириш далолатномасининг шартнома қатнашчилари томонидан имзоланган нусхаси; в) ундириб олувчи томонидан қарз қопланмаганлиги тўғрисида белги қўйилган ижарачига йўлланган ҳисобварақ,Ҳисоб-китобларни солиштириш далолатномасининг шартнома қатнашчилари имзоланган нусхаси; ундириб олувчи қарз қопланмаганлиги тўғрисида белги қўйилган ижарачига йўлланган ҳисобварақ.
нусхаси; г) қарздорнинг ёзма огоҳлантиришни олганлиги тўғрисидаги тилхати бор қарзни тўлаш тўғрисида қарздорга берилган ёзма огоҳлантиришнинг нусхаси; 8.,
"Квартира эгаси бўлган фуқаролар, уй-жой-қурилиш, уй-жой ва дала ҳовли-қурилиш кооперативлари аъзоларининг уй-жойни бошқариш, унга хизмат кўрсатиш ва уни таъмирлашга, уйни","Фуқаролар, уй-жой кооперативлари va дала ҳовли-қурилиш кооперативлари уй-жойни бошқариш, хизмат кўрсатиш ва таъмирлашга уринмаси."
(дала ҳовлини) сақлаш харажатларига тузилган шартнома-контрактга мувофиқ тақдим этиладиган умумий харажатлар ва коммунал хизматлар бўйича муддати икки ойдан ортиқ ўтказиб,
юборилган тўловларни қоплашга оид қарзларини белгиловчи ҳужжатлар. (8-банднинг биринчи хатбоши Ўзбекистон Республикаси Вазирлар Маҳкамасининг 2007 йил 1 мартдаги 43-сонли қарори,юборилган тўловларни қоплашга оид қарзларини белгиловчи ҳужжатлар. (8-банднинг биринчи хатбоши Ўзбекистон Республикаси Вазирлар Маҳкамасининг 2007 йил 1 мартдаги 43-сонли қарори)
"таҳририда — ЎР ҚҲТ, 2007 й., 9-10-сон, 85-модда) Ижро хати олиш учун қуйидагилар тақдим этилади: а) қарз қопланмаганлиги тўғрисида белги",
қўйилган қарздорга йўлланган ҳисобварақнинг ундириб олувчи томонидан тасдиқланган нусхаси; б) қарздорнинг ёзма огоҳлантиришни олганлиги тўғрисидаги тилхати бор қарзни тўлаш тўғрисида,"а) қўйилган қарздорга йўлланган ҳисобварақнинг ундириб олувчи томонидан тасдиқланган нусха;
б) қарздорнинг ёзма огоҳлантиришни олганлиги тўғрисида тилхати бор қарзни тўлаш тўғрисида."
қарздорга берилган ёзма огоҳлантириш нусхаси; в) бошқариш ва турар жойни таъмирлаш тўғрисидаги контракт-шартнома. (8-банднинг «в» кичик банди Ўзбекистон Республикаси Вазирлар,қарздорга берилган ёзма огоҳлантириш нусхаси; в) бошқариш ва турар жойни таъмирлаш тўғрисидаги контракт-шартнома. (8-банднинг «в» кичик банди Ўзбекистон Республикаси Вазирлар Мухити)
Фуқароларнинг баҳолаш ва хатлов ишлари учун хатлов-техник ишларини амалга оширувчи органлар олдидаги қарздорлигини белгиловчи ҳужжатлар.,Фуқароларнинг баҳолаш ва хатлов ишлари учун хатлов-техник ишларини амалга оширувчи органлар қарздорлигини белгиловчи ҳужжатлар.
VII. БОЛАЛАРНИНГ МАКТАБГАЧА ТАЪЛИМ МУАССАСАЛАРИ ВА ИХТИСОСЛАШТИРИЛГАН МАКТАБЛАРДА БЎЛГАНЛИКЛАРИ УЧУН ОТА-ОНАЛАРДАН ҚАРЗНИ УНДИРИШ 11.,
"VIII. КУТУБХОНАЛАРНИНГ ТАЛАБНОМАЛАРИ БЎЙИЧА ҚАЙТАРИЛМАГАН КИТОБЛАР, БОШҚА БОСМА АСАРЛАР ВА КУТУБХОНАЛАР ЗАХИРАСИДАН ОЛИНГАН ЎЗГА МАТЕРИАЛЛАР УЧУН ҚАРЗНИ УНДИРИШ 12.",
"Ижро хати олиш учун қуйидагилар тақдим этилади: а) кутубхонадан китоблар, бошқа босма асарлар ва ўзга материаллар берилганлигини тасдиқловчи, муддатида қайтарилмаганлиги",
"қайд этилган ҳужжат; б) китоблар, босма асарлар ёки материалларни қайтариш ёки улар ўрнини айнан шундай ёхуд тенг қийматли китоблар, босма","қайд этилган ҳужжат; б) китоблар, босма асарларни қайтариш ёки улар ўрнини тенг қийматли китоблар, босма айнан шундай ёхуд тенг"
"асарлар ёки материаллар билан тўлдириш тўғрисида, шунингдек қайтармаган ёки алмаштиришнинг имкони бўлмаган ҳолларда уларнинг қиймати ўн баравар миқдорда ундириб олиниши",
"тўғрисидаги ёзма огоҳлантиришларнинг нусхалари; в) китоблар, бошқа босма асар ва ўзга материаллар қайтарилмаган ёки уларни алмаштиришнинг имкони бўлмаган ҳолларда қарзнинг",
"ундириб олиниши тўғрисидаги ёзма огоҳлантириш топширилганлиги ҳақида почта билдиришномаси нусхаси; г) китоблар, бошқа босма асар, ўзга материалларнинг баҳоси тўғрисида кутубхона","Почта билдиришномаси нусхаси аркодан:
ундириб олиниши тўғрисидаги ёзма огоҳлантириш топширилганлиги;
г) китоблар, бошқа босма асарлар, ўзга материалларнинг баҳоси."
хатлов китобидан кўчирма ёки қайтарилмаган китоб ёхуд бошқа босма асар библиография нуқтаи назаридан нодир деб ҳисобланган ҳолларда букинистик дўконнинг маълумотномаси.,
"IX. ПРОКАТ ШАРТНОМАСИ БЎЙИЧА ФУҚАРОЛАРГА БЕРИЛГАН МУЛКДАН ФОЙДАЛАНГАНЛИК, УЛАРНИ ИШДАН ЧИҚАРГАНЛИК ЁКИ ҚАЙТАРМАГАНЛИК УЧУН ТЎЛОВЛАР БЎЙИЧА ҚАРЗНИ ФУҚАРОЛАРДАН УНДИРИШ 13.",
X. ЎЗБЕКИСТОН РЕСПУБЛИКАСИ СОҒЛИҚНИ САҚЛАШ ВАЗИРЛИГИНИНГ ДАВОЛАШ МУАССАСАЛАРИ ТАЛАБНОМАЛАРИ БЎЙИЧА ҚАРЗНИ УНДИРИШ 14.,
XI. ЛИЗИНГГА ОЛУВЧИДАН ҚАРЗНИ УНДИРИШ ВА ЛИЗИНГ ОБЪЕКТИНИ ТАЛАБ ҚИЛИБ ОЛИШ 15.,
ХОДИМ ТОМОНИДАН ИШ БЕРУВЧИГА ЕТКАЗИЛГАН ЗАРАРНИ ҚОПЛАШ БЎЙИЧА ҚАРЗНИ УНДИРИШ 16.,
Ходимнинг зарарни бўлиб-бўлиб тўлаган ҳолда уни ихтиёрий қоплаш тўғрисидаги ёзма мажбурияти.,
Ижро хати олиш учун қуйидагилар тақдим этилади: а) ходимнинг тўловнинг аниқ муддатлари кўрсатилган зарарни ихтиёрий қоплаш тўғрисидаги ёзма мажбуриятининг асл,Ижро хати олиш учун қуйидагилар тақдим этилади: а) ходимнинг тўловнинг аниқ муддатлари кўрсатилган зарарни ихтиёрий қоплаш тўғрисидаги ёзма мажбуриятининг асл.
нусхаси; б) етказилган зарарнинг тўланмаган қисми миқдорини тасдиқловчи ҳужжатлар; в) ўзи етказган зарарни қоплашдан бош тортган ходим билан меҳнат шартномасини,
бекор қилиш тўғрисидаги буйруқнинг нусхаси; г) қарздорнинг огоҳлантиришни олганлиги тўғрисидаги тилхати билан бирга қарзни тўлаш ҳақида қарздорга берилган огоҳлантириш хатининг,бекор қилиш тўғрисидаги буйруқ; г) қарздорнинг огоҳлантиришни олганлиги тўғрисидаги тилхат қарзни тўлаш ҳақида қарздорга берилган огоҳлантириш хатининг
Oʻzbekiston Respublikasi Hukumatining 3-ilovaga muvofiq ayrim qarorlari oʻz kuchini yoʻqotgan deb hisoblansin. 6.,Oʻzbekiston Respublikasi Hukumatining 3-ilovaga e'tibor bermaydigan ayrim qarorlar o'z kuchini yo'qotgan deb hisoblanadi. 6.
KTYADR davlat statistikasining yagona axborot tizimi tarkibidagi davlat axborot resursi hisoblanadi.,KTYADR o'zning axborot tizimining bitta hisoblanadi.
KTYADR axborot fondi Oʻzbekiston Respublikasi hududida qonunchilikda belgilangan tartibda tashkil etilgan va davlat roʻyxatidan oʻtgan yuridik shaxslar toʻgʻrisida quyidagi maʼlumotlarni,KTYADR axborot fondi Oʻzbekiston Respublikasi hududida qonunchilikda belgilangan tartibda tashkil etilgan va davlat roʻyxatidan oʻtgan yuridik shaxslar toʻgʻrisida maʼlumotlar beradi.
"oʻz ichiga oladi: identifikatsiyalash koʻrsatkichlari — yuridik shaxsning nomi, korxona va tashkilotning umumdavlat tasnifi kodi (keyingi oʻrinlarda — KTUT), soliq",
