"source","title","url","chunk_id","text","word_count","length","avg_sentence_len","avg_word_len","rare_word_ratio","complexity_score","domain","subcategory"
"sports.uz","""JCh-2026"". Fransiya — Ispaniya uchrashuvi uchun asosiy tarkiblar ma'lum","https://sports.uz/news/view/jch-2026-frantsiya-ispaniya-uchrashuvi-uchun-asosiy-tarkiblar-malum-14-07-2026","1","""JCh-2026"". Fransiya — Ispaniya uchrashuvi uchun asosiy tarkiblar ma'lum ""Jahon chempionati — 2026"" yarim finalidan o‘rin olgan Frantsiya va Ispaniya o‘rtasidagi o‘yin uchun asosiy tarkiblar e’lon qilindi. Uchrashuv 00:00da boshlanadi. ""Jahon chempionati — 2026"" yarim finalidan o‘rin olgan Frantsiya va Ispaniya o‘rtasidagi o‘yin uchun asosiy tarkiblar e’lon qilindi. Uchrashuv 00:00da boshlanadi.","51","398","10.8","5.61","0.0","0.284","sport","football"
"sports.uz","Kayl Uoker: ""argentinaliklar aql­li o‘ynashdi""","https://sports.uz/news/view/kayl-uoker-argentinaliklar-aql-li-o-ynashdi","2","Endilikda Argentina hal qiluvchi bahsda Ispaniyaga qarshi maydonga tushadi. Angliya esa uchinchi o‘rin uchun Frantsiya bilan kuch sinashadi.","18","140","9.5","6.32","0.0","0.285","sport","football"
"sports.uz","""JCh-2026""ning eng yaxshi oʻyinchilari reytingi yangilandi","https://sports.uz/news/view/jch-2026-ning-eng-yaxshi-o-yinchilari-reytingi-yangilandi","1","""JCh-2026""ning eng yaxshi oʻyinchilari reytingi yangilandi The Athletic nashri 2026 yildgi jahon chempionatida ishtirok etayotgan eng kuchli futbolchilarning yangilangan reytingiga oydinlik kiritdi. Ro‘yxatning yuqori qismida jiddiy o‘zgarish kuzatilmadi: birinchi o‘rinni yana Lionel Messi egallagan, ikkinchi pog‘onada esa Kilian Mbappe qolgan. Quyida top-10lik bilan tanishishingiz mumkin. Qavs ichida o‘tgan reytingga nisbatan o‘rinlar o‘zgarishi ko‘rsatilgan. 1. Lionel Messi (o‘zgarish yo‘q) 2. Kilian Mbappe (o‘zgarish yo‘q) 3. Jud Bellingem (+4 pog‘ona) 4. Harri Keyn (-1 pog‘ona) 5. Erling Xoland (-1 pog‘ona) 6. Maykl Olise (o‘zgarish yo‘q) 7. Usman Dembele (+4 pog‘ona) 8. Ashraf Hakimi (-3 pog‘ona) 9. Vinisius Zhunior (-1 pog‘ona) 10. Emerik Lyaport (-1 pog‘ona) Shu bilan birga, jahon chempionati yarim final uchrashuvlari 14 va 15 iyul kunlari bo‘lib o‘tishi ma’lum qilindi.","120","889","8.4","5.28","0.143","0.287","sport","football"
"sports.uz","Mbappe jahon chempionatlarida gollar soni bo‘yicha Messidan o‘tib rekordchiga aylandi","https://sports.uz/news/view/mbappe-jahon-chempionatlarida-gollar-soni-bo-yicha-messidan-o-tib-rekordchiga-aylandi","2","Bugun Jahon chempionati–2026 final bahsi bo‘lib o‘tadi. Unda Argentina terma jamoasi Ispaniya milliy jamoasiga qarshi chempionlik uchun maydonga tushadi.","19","153","10.5","6.0","0.0","0.29","sport","football"
"sports.uz","Ispanlar qanday yutdi? Mourin'yo mundial finalini tahlil qilib berdi","https://sports.uz/news/view/ispanlar-qanday-yutdi-mourin-yo-mundial-finalini-tahlil-qilib-berdi","3","Ispaniya tarixida bu jahon chempionatidagi ikkinchi chempionlik boʻldi. Ilk marta ispanlar 2010 yilda jahon chempioni boʻlishgan edi.","17","133","8.0","6.94","0.062","0.299","sport","football"
"sports.uz","Messi: Bu oʻziga xos uchrashuv boʻladi, men hech qachon Angliya terma jamoasiga qarshi oʻynamaganman","https://sports.uz/news/view/messi-bu-o-ziga-xos-uchrashuv-bo-ladi-men-hech-qachon-angliya-terma-jamoasiga-qarshi-o-ynamaganman","2","Ammo o‘sha paytda 18 yoshda bo‘lgan Lionel Messi o‘yinga jalb etilmagan edi. Jahon chempionati–2026ning ikkinchi yarim finali Angliya – Argentina uchrashuvi bugun, 15 iyul kuni Atlanta shahrida bo‘lib o‘tadi. Bellashuv soat 00:00 da start oladi.","35","245","12.33","5.05","0.027","0.299","sport","football"
"sports.uz","Kutilmagan yechim! Muhammad Saloҳga Angliya superklubida ish bor","https://sports.uz/news/view/kutilmagan-yechim-muhammad-salo-ga-angliya-superklubida-ish-bor","2","O‘tgan mavsumda misrlik futbolchi 41 uchrashuvda maydonga tushib, 12 gol urdi va 10 golli uzatma amalga oshirdi. Transfermarkt portali 34 yoshli Saloҳni 22 million yevro atrofida baholamoqda. Yaqinda u erkin agent maqomini qo‘lga kiritdi.","34","238","10.33","6.1","0.032","0.3","sport","football"
"sports.uz","Shomurodovning goli jahon chempionatida eng yaxshilar qatoriga kirdi","https://sports.uz/news/view/shomurodovning-goli-jahon-chempionatida-eng-yaxshilar-qatoriga-kirdi","2","Jahon chempionati 19 iyul kuni yakunlandi. Finalda Ispaniya terma jamoasi qo‘shimcha daqiqalarda Argentina jamoasini 1:0 hisobida mag‘lub etib, musobaqa g‘olibi bo‘ldi.","21","168","11.5","5.91","0.0","0.301","sport","football"
"sports.uz","«Barselona» sport direktori: «Bir tomonda Messi, ikkinchi tomonda — «Barselona»","https://sports.uz/news/view/barselona-sport-direktori-bir-tomonda-messi-ikkinchi-tomonda-barselona","2","Jahon chempionati finali AQShning Ist-Raterford shahrida joylashgan «Metlayf» stadionida o‘tkaziladi. Uchrashuv boshlanish vaqti – Toshkent vaqti bilan soat 23:59.","19","163","9.5","7.0","0.0","0.302","sport","football"
"sports.uz","Ҳammаsi hal bo‘ldi! Muҳammad Saloҳ yangi klubga o‘tyapti","https://sports.uz/news/view/amm-si-hal-bo-ldi-mu-ammad-salo-yangi-klubga-o-tyapti","2","Transfermarkt portali ma’lumotlariga ko‘ra, hujumchining bozor qiymati hozirda 22 million yevroni tashkil etmoqda. 34 yoshli futbolchi «Liverpul» tarkibida jami 442 ta o‘yin o‘tkazgan. Shu vaqt mobaynida u 257 ta gol urgan va 123 marta golli pas uzatgan.","37","254","12.0","5.42","0.028","0.304","sport","football"
"sports.uz","""JCh-2026"". Fransiya — Angliya: Asosiy tarkiblar ma'lum","https://sports.uz/news/view/jch-2026-frantsiya-angliya-asosiy-tarkiblar-malum-19-07-2026","1","""JCh-2026"". Fransiya — Angliya: Asosiy tarkiblar ma'lum ""Jahon chempionati — 2026"" 3-o‘rin sohibini aniqlab beruvchi bellashuv uchun Frantsiya va Angliya terma jamoalarining asosiy tarkiblari ma’lum. O‘yin 02:00da start oladi. ""Jahon chempionati — 2026"" 3-o‘rin sohibini aniqlab beruvchi bellashuv uchun Frantsiya va Angliya terma jamoalarining asosiy tarkiblari ma’lum. O‘yin 02:00da start oladi.","51","397","10.4","5.75","0.077","0.305","sport","football"
"sports.uz","Neymar o‘zi istamagan terma jamoaga tushdi","https://sports.uz/news/view/neymar-o-zi-istamagan-terma-jamoaga-tushdi","2","Turnir tarixida ilk bor musobaqada 48 ta terma jamoa ishtirok etdi. Kubokni Ispaniya terma jamoasi qoʻlga kiritdi. Finalda “qizil furiya” Argentina ustidan 1:0 hisobida gʻalaba qozondi. Uchinchi oʻrin Angliyaga nasib etdi. Bronza medallari uchun bahs juda sermahsul oʻtdi: inglizlar Frantsiya darvozasini 6 marta ishgʻol etdi va 6:4 hisobida zafar quchdi.","50","355","9.2","6.28","0.087","0.306","sport","football"
"sports.uz","""Real"" ""Barselona"" hujumchisi Ferran Torresni kuzatmoqda","https://sports.uz/news/view/real-barselona-hujumchisi-ferran-torresni-kuzatmoqda","2","U shu davr mobaynida 21 ta gol urdi va 3 ta golli uzatma amalga oshirdi. Transfermarkt portali ma’lumotlariga ko‘ra, hujumchining bozor qiymati 50 million yevroni tashkil etadi.","27","177","13.0","5.42","0.0","0.309","sport","football"
"sports.uz","O‘zbekiston mundialda bu ko‘rsatkich bo‘yicha Angliya bilan bir xil daraja ko‘rsatdi","https://sports.uz/news/view/o-zbekiston-mundialda-bu-ko-rsatkich-bo-yicha-angliya-bilan-bir-xil-daraja-ko-rsatdi","2","Statistikadan ko‘rinib turibdiki, milliy terma jamoaning Fayyo Kannavaro boshchiligidagi murabbiylar shtabi maydondagi vaziyatga juda faol munosabat bildirgan va o‘yin jarayonida taktik tuzilishni muntazam ravishda yangilab borgan. 90 daqiqa ichida o‘yin sxemasini eng ko‘p o‘zgartirgan terma jamoalar o‘nligi quyidagicha ko‘rinish oldi: 1. Qatar — 3,3 2. Iordaniya — 3,3 3. Belgiya — 3,0 4. Chexiya — 3,0 5. Paragvay — 2,8 6. Angliya — 2,7 7. O‘zbekiston — 2,7 8. Eron — 2,7 9. Aljir — 2,5 10. Misr — 2,4. Eslatib o‘tamiz, o‘z tarixida ilk bor jahon chempionatida ishtirok etgan O‘zbekiston milliy terma jamoasi ""K"" guruhida Kolumbiya, Portugaliya va Kongo Demokratik Respublikasi vakillari bilan kuch sinashib, uchala uchrashuvni boy berdi.","110","742","6.92","6.1","0.222","0.311","sport","football"
"sports.uz","Zidan Frantsiya terma jamoasi bilan uzoq muddatli shartnoma imzoladi","https://sports.uz/news/view/zidan-frantsiya-terma-jamoasi-bilan-uzoq-muddatli-shartnoma-imzoladi","2","Uning rahbarligida jamoa 2018 yilda jahon chempionligiga erishgan. 2022 yildagi mundialda esa Frantsiya finalda Argentinga mag‘lub bo‘lgan. Joriy yildagi yirik musobaqada fransuzlar to‘rtinchi o‘rinni egalladi.","25","210","9.0","6.33","0.111","0.312","sport","football"
"sports.uz","Ispaniya terma jamoasi jahon rekordini takrorladi","https://sports.uz/news/view/ispaniya-terma-jamoasi-jahon-rekordini-takrorladi","1","Ispaniya terma jamoasi jahon rekordini takrorladi Jahon chempionati pley-off bosqichi, yarim final: Fransiya va Ispaniya terma jamoalari oʻrtasidagi bellashuv yakunlandi. Uchrashuvda 2:0 hisobida Ispaniya gʻalaba qozondi. Gʻolib jamoa tarkibida hisobni Mikel Oyarsabal penaltiidan ochdi. Ikkinchi gol muallifi esa Pedro Porro boʻldi. U Ispaniya terma jamoasi tarixida bir jahon chempionati doirasida ikki marta gol urgan ikkinchi himoyachi sifatida qayd etildi. Shu tariqa, Ispaniya terma jamoasi asosiy vaqtda magʻlubiyatsiz seriyasini 37 oʻyinga yetkazdi va dunyo rekordini takrorladi. Bu koʻrsatkich avval Italiya terma jamoasiga tegishli edi. Terma jamoalarning rekord seriyalari: 1–2. Italiya — 37 oʻyin (2018–2021); 1–2. Ispaniya — 37 oʻyin (2024–2026); 3.","100","762","9.0","6.73","0.078","0.312","sport","football"
"sports.uz","Endi nima bo‘ladi? Mbappe Ispaniyaga qarshi o‘yinga tiklanib ulgurmadi","https://sports.uz/news/view/endi-nima-bo-ladi-mbappe-ispaniyaga-qarshi-o-yinga-tiklanib-ulgurmadi","2","Hozirgacha Mbappe 2026 yildgi jahon chempionatida Frantsiya terma jamoasining barcha olti uchrashuvida maydonga tushdi. Uning hisobida sakkizta gol va bitta golli uzatma mavjud.","23","177","11.0","6.77","0.0","0.316","sport","football"
"sports.uz","Braziliya prezidenti JChdan keyin vatanga qaytmagan futbolchilarni qoriladi","https://sports.uz/news/view/braziliya-prezidenti-jchdan-keyin-vatanga-qaytmagan-futbolchilarni-qoriladi","2","Braziliya terma jamoasi jahon chempionatlari tarixida besh karra g‘olib hisoblanadi. Jamoa 36 yil ichida ilk bor musobaqaning chorak finaligacha yetib bora olmadi.","22","163","11.0","6.23","0.045","0.316","sport","football"
"sports.uz","Tuxel o‘rniga Angliya terma jamoasi uchun ikki nomzod topildi","https://sports.uz/news/view/tuxel-o-rniga-angliya-terma-jamoasi-uchun-ikki-nomzod-topildi","2","Jahon chempionatida qo‘lga kiritilgan uchinchi o‘rin 1966 yildan buyongi eng yuqori natija hisoblanadi. O‘shanda inglizlar jahon chempioni bo‘lishgan edi.","19","154","11.0","5.73","0.091","0.317","sport","football"
"sports.uz","Mbappe: Topshiriq bajarildi, Oliseni ""Real""ga o'tishga ko'ndirdim","https://sports.uz/news/view/mbappe-topshiriq-bajarildi-oliseni-real-ga-o-tishga-ko-ndirdim","2","O‘tgan mavsumda Olise «Bavariya» tarkibida barcha musobaqalarni qo‘shib hisoblaganda 52 ta o‘yinda maydonga tushdi. U shu davr mobaynida 22 ta gol urdi va 31 ta golli pas berdi. Transfermarkt portali ma’lumotlariga ko‘ra, futbolchining bozor qiymati 150 million yevroni tashkil etadi.","40","284","13.67","5.49","0.0","0.319","sport","football"
"sports.uz","Evropa grandlari talashayotgan yulduzni badavlat arablar ilib ketdi","https://sports.uz/news/view/evropa-grandlari-talashayotgan-yulduzni-badavlat-arablar-ilib-ketdi","2","Uning amaldagi shartnomasi hozirgi klubi bilan 2029 yil yozigacha mo‘ljallangan. Transfermarkt portali ma’lumotlariga ko‘ra, futbolchining bozor qiymati 35 million yevro deb baholangan.","22","185","11.5","6.61","0.0","0.319","sport","football"
"sports.uz","Tuxel o‘rniga Angliya terma jamoasi uchun ikki nomzod topildi","https://sports.uz/news/view/tuxel-o-rniga-angliya-terma-jamoasi-uchun-ikki-nomzod-topildi","1","Tuxel o‘rniga Angliya terma jamoasi uchun ikki nomzod topildi 79 yoshli ingliz murabbiyi Garri Rednapp Angliya terma jamoasi bosh murabbiyligiga Tomas Tuxel o‘rniga ikki nomzodni taklif qildi. Jahon chempionatida inglizlar bronza medalini qo‘lga kiritdi. Tuxel jamoasi uchinchi o‘rin uchun bahsda Fransiyani 6:4 hisobida mag‘lub etdi. - Eddi Xau yoki Frenk Lempard kabi murabbiylar bor, ular Angliya terma jamoasini qabul qilib olish imkoniyatini ko‘rib chiqishi mumkin. Ishonchim komilki, ular ham kamida Tomas Tuxel kabi natija ko‘rsata oladi. Keling, o‘zimizni aldamaylik. U bizni mutlaqo yangi bosqichga olib chiqqani yo‘q. Aslida hech narsa o‘zgarmadi. Finalga chiqa olmadik, — dedi Rednapp. Tomas Tuxel 2025 yildan beri Angliya terma jamoasini boshqarib kelmoqda.","107","769","11.2","5.61","0.098","0.319","sport","football"
"sports.uz","Shakira Messining qilgan ishidan hayratga tushdi","https://sports.uz/news/view/shakira-messining-qilgan-ishidan-hayratga-tushdi","2","Jahon chempionati finalida Argentina terma jamoasi Ispaniya jamoasiga qarshi maydonga tushadi. 2026 yildgi jahon chempionati 11 iyundan 19 iyulgacha AQSh, Kanada va Meksika hududida oʻtkazilmoqda. Final bahsi AQShning Ist-Raterford shahrida boʻlib oʻtadi.","32","255","10.0","7.03","0.033","0.319","sport","football"
"sports.uz","Mbappe uchinchi o‘rin uchun o‘ynagandan ta’tilga ketishni ma’qul topdi","https://sports.uz/news/view/mbappe-uchinchi-o-rin-uchun-o-ynagandan-ta-tilga-ketishni-ma-qul-topdi","2","Eslatib o‘tamiz, jahon chempionatining uchinchi o‘rin uchun bahsida Frantsiya terma jamoasi Angliyaga qarshi maydonga tushadi. Uchrashuv 18 iyuldan 19 iyulga o‘tar kechasi bo‘lib o‘tadi.","24","186","13.5","5.59","0.0","0.32","sport","football"
"sports.uz","Messi zo‘rlar reytingida birinchi o‘ringa ko‘tarildi","https://sports.uz/news/view/messi-zo-rlar-reytingida-birinchi-o-ringa-ko-tarildi","2","Usman Dembele (Fransiya). Eslatib o'tamiz, 2026 yildgi jahon chempionati 11 iyundan boshlab AQSh, Kanada va Meksika shaharlarida o'tkazilmoqda. Musobaqaning hal qiluvchi uchrashuvi 19 iyul kuni AQShning Ist-Raterford shahrida bo'lib o'tadi.","30","240","9.33","6.96","0.071","0.32","sport","football"
"sports.uz","Rasman! ""Chelsi"" Angliyadagi eng qimmat transferni amalga oshirdi","https://sports.uz/news/view/rasman-chelsi-angliyadagi-eng-qimmat-transferni-amalga-oshirdi","2","U o‘tgan mavsumda jamoa bilan birga Yevropa Ligasi g‘olibligini qo‘lga kiritgan. Rojers Angliya terma jamoasi tarkibida 22 ta o‘yinda maydonga tushgan va 1 ta gol urgan. Transfermarkt ma’lumotlariga ko‘ra, uning «Chelsi»ga o‘tishi 137,3 million yevro atrofida baholangan.","37","271","14.0","5.1","0.024","0.321","sport","football"
"sports.uz","Yamal ""JCH-2026""dagi samaradorligi haqida fikr bildirdi","https://sports.uz/news/view/yamal-jch-2026-dagi-samaradorligi-haqida-fikr-bildirdi","1","Yamal ""JCH-2026""dagi samaradorligi haqida fikr bildirdi Ispaniya terma jamoasi vingeri Lamin Yamal ""Jahon chempionati–2026"" yarim finali oldidan musobaqadagi shaxsiy natijasi haqida fikr bildirdi. Uning hisobida hozircha 6 o‘yinda bitta gol bor. ""Men gol urishga o‘ta berilib qolmaganman. Lekin bunday darajadagi o‘yinda gol kiritish alohida voqea bo‘ladi. Bu chaqiriqni qabul qilaman. Men bu yerda aynan shuning uchundaman. Bu – hamma kutgan o‘yin. O‘ylaymanki, tomoshabinlar juda chiroyli bahsni ko‘rishadi. Shu bilan birga, hayotda futbol o‘yinidan ham qiyinroq vaziyatlar bo‘ladi, shuning uchun o‘zimni xotirjam his qilaman. Hech qanday ortiqcha bosim sezmayapman. Maydonga chiqaman va har doimgidek jamoa uchun bor kuchimni ishga solaman"", – dedi Yamal.","102","758","10.0","5.57","0.164","0.322","sport","football"
"sports.uz","PSJning ikki yulduzi yoshlar jamoasida shug‘ullanayapti, ular klubdan ketadi","https://sports.uz/news/view/psjning-ikki-yulduzi-yoshlar-jamoasida-shug-ullanayapti-ular-klubdan-ketadi","2","U yerda futbolchi asosiy tarkibda faqat besh marta maydonga tushib, jamoada mustahkam o‘rin egallay olmadi. 28 yoshli portugalialik futbolchining PSJ bilan amaldagi shartnomasiga faqat bir yil qolgan. Hozircha uni sotib olishga jiddiy qiziqish bildirgan klublar yo‘q.","36","267","12.33","6.05","0.027","0.324","sport","football"
"sports.uz","Qimmatbaho oʻyinchining faqat bitta xaridori qoldi","https://sports.uz/news/view/qimmatbaho-o-yinchining-faqat-bitta-xaridori-qoldi","2","Uning «Kristal Pэlas» bilan amaldagi shartnomasi 2029 yil yozigacha mo‘ljallangan. Transfermarkt portali ma’lumotlariga ko‘ra, futbolchining bozor qiymati 70 million yevro atrofida baholanmoqda.","22","194","11.5","6.91","0.0","0.326","sport","football"
"sports.uz","Rasman! ""Roma"" Dibala bilan shartnomani uzaytirdi","https://sports.uz/news/view/rasman-roma-dibala-bilan-shartnomani-uzaytirdi","1","Rasman! ""Roma"" Dibala bilan shartnomani uzaytirdi «Roma» klubi hujumchisi Paulo Dibala jamoa bilan yangi shartnoma imzoladi. Italiya klubi matbuot xizmati xabariga ko‘ra, 32 yoshli argentinalik futbolchi bilan tuzilgan yangi kelishuv bir mavsumga mo‘ljallangan. Uning avvalgi shartnomasi 30 iyunga qadar amal qilar edi. Dibala 2022 yildan beri «Roma» sharafini himoya qilib kelmoqda. O‘tgan mavsumda u jamoa tarkibida 27 ta o‘yinda maydonga tushib, 3 ta gol urdi va 8 ta golli pas muallifi bo‘ldi. Paulo bunga qadar, «Palermo» va «Yuventus» klublarida ham to‘p surgan. «Yuventus» bilan birga u Italiya chempionligini besh marotaba qo‘lga kiritgan. 2022 yilda Dibala Argentina terma jamoasi tarkibida jahon chempioniga aylangan. «Roma» o‘tgan mavsumni Seriya A chempionati jadvalida 3-o‘rinda yakunlab, Chempionlar ligasi yo‘llanmasiga ega chiqdi.","116","846","11.9","5.67","0.084","0.326","sport","football"
"sports.uz","Rodri tarixda oʻziga xos yutuqlar toʻplamiga ega boʻlgan 11-oyinchiга aylanishi mumkin","https://sports.uz/news/view/rodri-tarixda-o-ziga-xos-yutuqlar-to-plamiga-ega-bo-lgan-11-oyinchi-aylanishi-mumkin","2","Ispaniya terma jamoasi Fransiyani 2:0 hisobida mag‘lub etib, jahon chempionati finaliga yo‘l oldi. Shu tariqa jamoa o‘z tarixida ikkinchi bor dunyo chempioni bo‘lish imkoniyatini saqlab qoldi.","26","192","14.5","5.41","0.0","0.329","sport","football"
