"source","title","url","chunk_id","text","word_count","length","avg_sentence_len","avg_word_len","rare_word_ratio","complexity_score"
"kun.uz","O‘qishni ko‘chirish bo‘yicha turdosh bakalavriat yo‘nalishlari ro‘yxati tasdiqlandi.","https://kun.uz/news/2026/07/12/oqishni-kochirish-boyicha-turdosh-bakalavriat-yonalishlari-royxati-tasdiqlandi-e4cdd6","1","O‘qishni ko‘chirish bo‘yicha turdosh bakalavriat yo‘nalishlari ro‘yxati tasdiqlandi Yo‘nalishlar jami 34 ta turdosh guruhlarga ajratildi. 2026/2027-o‘quv yili uchun talabalar o‘qishini ko‘chirish (ko‘chirib tiklash) bo‘yicha turdosh bakalavriat yo‘nalishlari ro‘yxati tasdiqlandi. Yo‘nalishlar jami 34 ta turdosh guruhlarga ajratildi. Ma’lumot uchun, ko‘chirish yoki qayta tiklashga ariza topshirganlarning ilgari ta’lim olgan yo‘nalishlari (mutaxassisliklari) amaldagi klassifikatorga muvofiqlashtirgan holda inobatga olinadi. Avvalroq xorijiy va nodavlat oliy ta’lim tashkilotlaridan o‘qishni ko‘chirish bo‘yicha maxsus sinovlar uchun ta’lim sohalari va yo‘nalishlari kesimida o‘tish ballari tasdiqlangandi. Mavzuga oid 09:36 / 09.07.2026 O‘qishni ko‘chirish: yo‘nalishlar kesimida o‘tish ballari tasdiqlandi 13:01 / 09.01.2026 Davlat stipendiyalarini tayinlash tartibiga o‘zgartirishlar kiritildi 15:20 / 29.12.2025 Tibbiyot xodimlari farzandlariga kontraktning 30 foiz qismi qoplab beriladi 23:49 / 25.07.2025","112","1013","9.07","6.15","0.378","0.443"
"kun.uz","“Och qolmaslik uchun vayner bo‘ldik” – “Turtki” podkastida bir dard birlashtirgan uchlik.","https://kun.uz/news/2026/07/11/och-qolmaslik-uchun-vayner-boldik-turtki-podkastida-bir-dard-birlashtirgan-uchlik","5","Shahzoda Albayevaning asl kasbi iqtisodchi. Komila Murodova esa hamshira bo‘lib ishlagan. Jamoa tasvirchisi va montaj ustasi Fotima opaning 17 yoshli o‘g‘li Mahmud. Ssenariy muallifi va ma’mur Shahzoda. U “Fotima opaning tajribasiga suyanaman” - demoqda. San’at sohasida ta’lim olmagan Shahzoda va Komilada aktrisa bo‘lib mashhurlikka erishish istagi bolaligidanoq paydo bo‘lgan ekan. Jamoani jam qilgan sardor bu Fotima opa Nazarova. “Bobur Mansurovga borib yurganimda, birinchi Shahzodani ko‘rganman. Mana shu qiz zo‘r dedim ularga aytdim-da. “Yomon” tipaj dedim. Shunaqa qilib, keyin Komila biz bilan ishlaysanmi desam, Rahmiddin bilan ishlardi. Ha, dedi. Shu bilan Boburlar, mayli, sizga bo‘lsa mayli opa dedi. Keyin Shahzodani ham Bobur Mansurovda ko‘rdim.","103","761","8.14","5.42","0.5","0.443"
"kun.uz","Uy qurilishiga ulush kiritgan shaxslarning mablag‘larini himoya qilish bo‘yicha qonun loyihasi tayyorlandi.","https://kun.uz/news/2026/07/11/uy-qurilishiga-ulush-kiritgan-shaxslarning-mablaglarini-himoya-qilish-boyicha-qonun-loyihasi-tayyorl-f2dddc","3","Ayni paytda qonun loyihasi mutaxassislar ishtirokida muhokama qilinib, Qonunchilik palatasi majlisi kun tartibiga kiritish uchun tayyorlanmoqda. Mavzuga oid 22:32 / 11.07.2026 Sergelida ko‘p qavatli turarjoy qurilishi to‘xtatildi 08:40 / 10.07.2026 1000 metrli Jeddah Tower: bosh muhandis eng qiyin vazifani ochiqladi 23:09 / 04.07.2026 Zarafshon daryosi “chegaradan chiqdi”: temiryo‘l loyihasida bu hisobga olinmaganmi? 19:48 / 03.07.2026","55","439","4.09","6.82","0.578","0.443"
"gazeta.uz","2026 йилнинг биринчи ярмида Ўзбекистонда иш жойида 447 та бахтсиз ҳодиса содир бўлди, 137 киши ҳалок бўлди","https://www.gazeta.uz/uz/2026/07/10/accidents/","3","Эслатиб ўтамиз, 2026 йил 1-чорагида Ўзбекистонда меҳнат фаолияти билан боғлиқ 198 та бахтсиз ҳодиса содир бўлган эди. 62 киши вафот этиб, 146 нафари оғир жароҳатланган. Энг кўп ҳодисалар Тошкент шаҳрида ва Сурхондарё вилоятида қайд этилган. Ҳолатларнинг асосий қисми саноат ва қурилиш тармоқларига тўғри келган. Аввалроқ Тошкентнинг Яшнобод туманида 25 ёшли йигит бетон плита босиб қолиши оқибатида ҳалок бўлган эди. Бахтсиз ҳодиса қурилиш объектида иш вақтида содир бўлган.","67","474","10.33","6.19","0.306","0.443"
"kun.uz","“Och qolmaslik uchun vayner bo‘ldik” – “Turtki” podkastida bir dard birlashtirgan uchlik.","https://kun.uz/news/2026/07/11/och-qolmaslik-uchun-vayner-boldik-turtki-podkastida-bir-dard-birlashtirgan-uchlik","6","Voy, opa, sizning muxlisingizman dedi keyin. Voy, aylanay dedim-da, keyin, Shahzoda, ssenariy yozasan-ku, bizga o‘t deb, shunaqa qilib birlashib ketdik.” – deb xotiralarni esladi Fotima Nazarova. “Biz dori reklama qilmaymiz” Jamoadan reklamalarni saralash masalasida o‘z munosabatlarini so‘radik. Shu narsa ma’lum bo‘ldiki, ular 3 turdagi reklamalarni ommaga e’lon qilishmas ekan. “Biz dorini hech qachon reklama qilmaymiz. Umuman olmaymiz dori reklamasini. Keyin klinikalarni reklama qilmaymiz. Sababchi bo‘lib qolishdan qo‘rqamiz. Chunki hammani organizmi har xil. Eng oxirgisi qurilishlarni o‘ylab qilamiz, qilsak agar. Qarg‘ishga qolmaylik deb qurilishni ham o‘ylab ko‘ramiz.” “Rizqimiz albatta keladi”... Hech o‘ylab ko‘rganmisizlar, YouTube, Instagram platformasi bor hozir. Agar shu platformalarga cheklovlar bo‘lib qolsa yoki to‘xtatilsa yoki yo‘qolib qolsa-da.","108","869","8.4","5.59","0.476","0.445"
"kun.uz","“Och qolmaslik uchun vayner bo‘ldik” – “Turtki” podkastida bir dard birlashtirgan uchlik.","https://kun.uz/news/2026/07/11/och-qolmaslik-uchun-vayner-boldik-turtki-podkastida-bir-dard-birlashtirgan-uchlik","9","Vaqtida, aytaman, to‘rtta chaqaloq. To‘rt o‘ram taglik, to‘rt quti bo‘tqa deganida bu arzon narsa emas. Buni boshga tushganlar biladi. Bitta bo‘tqa va taglik olsak, ikki kunga yetadi. Mana bugun olsam, bugun xursand bo‘laman, ertaga yediraman, indiniga yana o‘ylanishim kerak. U bo‘tqa qurg‘ur ham arzon narsa emas. O‘sha paytlar Fotima opa aytmoqchi, ertaga nima qilaman degan qo‘rquv bor edi. Keyin o‘zimni o‘zim kasal qilaman qarasam. O‘sha qo‘rquvni qo‘yib yuborganimdan keyin hayotim shunaqa yaxshilanib ketdi, ishoning. Insonlar o‘sha qo‘rquvni qo‘yib yuborish kerak o‘zidan.” “5000 dollar yig‘ildi” Fotima Nazarova uzoq yillar davomida o‘z uyi bo‘lishini orzu qilib yashagan. Xalqning yordami bilan bugun vatanli bo‘ldim demoqda suhbatdoshimiz. “Allohga shukur, 30 yil deganda mana shu uyni qurib oldim.","113","810","10.46","4.71","0.456","0.445"
"kun.uz","Xitoy Starlink sun’iy yo‘ldoshlarini ishdan chiqaruvchi qurolini namoyish etdi.","https://kun.uz/news/2026/07/12/xitoy-starlink-suniy-yoldoshlarini-ishdan-chiqaruvchi-qurolini-namoyish-etdi-53a485","2","Qayd etilishicha, yangi qurol innovatsion litiy-ionli kondensatorlar tufayli bir lahzada ishga tushishi va 40 daraja sovuqda ham to‘xtovsiz ishlashi mumkin. Mavzuga oid 20:21 / 10.07.2026 «Xitoy - Qirg‘iziston - O‘zbekiston» temiryo‘li qurilishi faol bosqichga o‘tdi 17:52 / 10.07.2026 Shavkat Mirziyoyev Xitoydagi fojiali hodisalar yuzasidan Si Jinpingga hamdardlik yo‘lladi 17:31 / 10.07.2026 Xitoy muvaffaqiyatli raketa parvozidan keyin uning busterini qaytarib oldi 11:50 / 10.07.2026","63","488","5.5","6.31","0.564","0.446"
"gazeta.uz","Хонадонлар бироз қимматлади, ипотека эса ўсмоқда. Ўзбекистон уй-жой бозоридаги вазият қандай?","https://www.gazeta.uz/uz/2026/07/10/real-estate/","3","Бу ўтган йилга нисбатан 29 фоизга кўп. Таққослаш учун, 2025 йилнинг биринчи чорагида банклар томонидан тахминан 4,5 трлн сўмлик ипотека кредитлари берилган эди. Уй-жойга бўлган талабни, шунингдек, аҳоли реал даромадларининг ўсиши ҳам қўллаб-қувватлади. Чорак якунларига кўра, ўсиш суръатлари бироз секинлашганига қарамай, 7,8 фоизни ташкил этди. Шу билан бирга, таклиф ҳажми ҳам ўсишда давом этди. Фойдаланишга топширилган уй-жойларнинг умумий майдони 6,6 фоизга кўпайиб, 3,3 млн кв. метрни ташкил қилди. Асосий ўсиш якка тартибдаги уй-жой қурилиши ҳисобига тўғри келди, унинг майдони 6,8 фоизга ошди. Кўп квартирали уйлар сегментида эса динамика сустроқ бўлди ва бу айрим йирик турар жой мажмуаларини топшириш муддатларига боғлиқ бўлиши мумкин.","102","745","11.0","6.08","0.303","0.449"
"uza.uz","Шахмат: Афруза Ҳамдамова Бибисара Ассаубаева билан куч синашди","https://uza.uz/uz/posts/shaxmat-afruza-hamdamova-bibisara-assaubaeva-bilan-kuch-sinashdi_881678","2","Ушбу натижадан кейин Б.Ассаубаева ғолиблик йўлидаги баҳсларни давом эттирадиган бўлди. Ҳамдамова эса мағлуб бўлганлар гуруҳида дона суришга киришади. Эслатиб ўтамиз, мусобақаларда энг кўп очко жамғарган иштирокчи кейинги босқичга йўл олади. “Women’s Speed Chess Championship 2026” турнири 30 июлга қадар онлайн тарзда давом этади. Т.Рўзиев, ЎзА","45","344","6.57","6.15","0.543","0.453"
"kun.uz","O‘zbekistonda ish joyidagi baxtsiz hodisalar oqibatida olti oyda 140 nafarga yaqin inson vafot etdi.","https://kun.uz/news/2026/07/11/ozbekistonda-ish-joyidagi-baxtsiz-hodisalar-oqibatida-olti-oyda-140-nafarga-yaqin-inson-vafot-etdi-cb4aff","3","Mavzuga oid 20:23 / 15.06.2026 Braziliyadagi attraksionda ayol 40 metr balandlikdan xavfsizlik arqonisiz otib yuborildi 20:00 / 05.06.2026 To‘rt bolaning “boshini yegan” elektromopedmi yoki?.. - Paxtachidagi fojia tafsilotlari 18:02 / 02.06.2026 Tojikistonda O‘zbekistondan keltirilgan havo shari quladi va odamlar jarohat oldi 11:09 / 02.06.2026","44","346","3.2","7.16","0.656","0.463"
"uza.uz","Tomas Tuxel: “Natijadan xursandman, ammo o‘yinimizdan emas”","https://uza.uz/uz/posts/tomas-tuxel-natijadan-xursandman-ammo-oyinimizdan-emas_881724","1","Tomas Tuxel: “Natijadan xursandman, ammo o‘yinimizdan emas” Jud Bellingem jahon darajasidagi futbolchi. Angliya terma jamoasi bosh murabbiyi Tomas Tuxel JCH–2026 chorak finalida Norvegiya ustidan qozonilgan 2:1 hisobidagi g‘alabadan so‘ng jamoasining o‘yinini keskin tanqid qildi. ""Men hech qachon “biz azob chekdik” demaganman. Bugun muammolarni o‘zimiz yaratdik. Natija ajoyib — biz turnirning eng kuchli to‘rt jamoasi qatoriga kirdik. Bu katta yutuq, ammo o‘yinimizdan umuman qoniqmadim. Futbolchilarning ishtiyoqi va fidoyiligi yuqori darajada edi. Lekin maydonda juda ko‘p ehtiyotsizlik, texnik xatolar, past tezlik va barqarorlik yetishmasligi kuzatildi. Bugun omad biz tomonda bo‘ldi. Bu mentalitet bilan bog‘liq muammo emas. Aksincha, aynan xarakterimiz bizga g‘alaba keltirdi.","100","785","9.91","5.91","0.44","0.468"
"gazeta.uz","2026 йилнинг биринчи ярмида Ўзбекистонда иш жойида 447 та бахтсиз ҳодиса содир бўлди, 137 киши ҳалок бўлди","https://www.gazeta.uz/uz/2026/07/10/accidents/","1","2026 йилнинг биринчи ярмида Ўзбекистонда меҳнат фаолияти билан боғлиқ 447 та бахтсиз ҳодиса қайд этилди. Улар оқибатида 494 нафар ходим жабрланган бўлиб, 137 нафари ҳалок бўлган. Бу ҳақда Давлат меҳнат инспекцияси маълум қилди. Инспекция маълумотларига кўра, қайд этилган бахтсиз ҳодисаларнинг 21 таси гуруҳий, 311 таси оғир оқибатли, 113 таси эса ўлим билан якунланган. Жами 494 нафар жабрланганнинг 337 нафари оғир, 20 нафари енгил тан жароҳати олган, 137 нафари эса вафот этган. Ҳудудлар кесимида энг кўп бахтсиз ҳодиса Тошкент шаҳрида қайд этилган — 95 та. Кейинги ўринларда Тошкент вилояти (58 та), Қашқадарё вилояти (38 та), Бухоро вилояти (34 та), Самарқанд ва Андижон вилоятлари (ҳар бири 33 тадан), Навоий вилояти (31 та) қайд этилган.","112","744","13.43","5.97","0.266","0.474"
"kun.uz","Alifbo haqidagi bahslar va Lukashenkoning o‘zbeklarga taklifi - hafta dayjesti.","https://kun.uz/news/2026/07/11/alifbo-haqidagi-bahslar-va-lukashenkoning-ozbeklarga-taklifi-hafta-dayjesti-be3b8b","16","Lekin bu taqiq amalda ishlashi uchun tegishli reyestrning ishga tushgani haqida yangilik bo‘lganicha yo‘q. Toshkentda qurilishdagi avariyadan keyin kanalizatsiya suvi kanalga oqizib yuborildi. O‘tgan hafta oxirida Shota Rustaveli ko‘chasida markaziy kanalizatsiya quvuri ko‘chirilmay turib, kotlovan qazilishi oqibatida tuproq o‘pirilgan va kanalizatsiya quvuri uzilib ketgan edi. Rasmiylar hodisaga quruvchi kompaniya aybdor ekanini aytgan. Keyinroq ma’lum bo‘lishicha, yorilib ketgan kanalizatsiya quvuridan chiqqan oqova suvlar Salor kanaliga oqizilgan. Ekologiya boshqarmasi holatni tasdiqlab, aybdorlarga chora ko‘rilishini ma’lum qildi. Mavzuga oid 12:37 / 07.07.2026 O‘zbekistonda alifbo islohoti bo‘yicha qonun qabul qilindi 09:00 / 05.07.2026 Mundialdagi debyutga rasmiy baho, qimmatlayotgan benzin va o‘pirilgan damba - hafta dayjesti 09:00 / 28.06.2026 Korrupsiyaga qarshi yangi qonun va tanqidlar ostidagi hokimlar - hafta dayjesti 09:10 / 21.06.2026","118","962","7.8","6.46","0.53","0.478"
"kun.uz","O‘zbekistondagi 200dan ortiq suv havzalarining nomlari o‘zgardi.","https://kun.uz/news/2026/07/11/ozbekistondagi-200dan-ortiq-suv-havzalarining-nomlari-ozgardi-bb5d30","2","Shuningdek, vazirlik Qoraqalpog‘iston Respublikasi Vazirlar Kengashi va viloyatlar hokimliklari, Turizm qo‘mitasi, “O‘zbekbaliqsanoat” uyushmasi bilan birgalikda daryolar, soylar, ko‘llar, buloqlar va sharsharalarda o‘rnatilgan peshlavhalar hamda axborot ko‘rsatkichlaridagi yozuvlarning davlat tili qoidalari va me’yorlariga muvofiq lotin yozuviga asoslangan o‘zbek alifbosida yozilishini ta’minlaydi. Mavzuga oid 13:43 / 04.08.2020 To‘lqinlar uchrashganda: yondosh, lekin qo‘shilmaydigan suv havzalari (fotogalereya) 22:07 / 17.01.2018 BMT: Yer yuzida ichki chuchuk suv havzalarining 70 foizi yo‘q bo‘lib ketgan 20:59 / 31.08.2017 Yoz mavsumida Toshkent viloyatidagi suv havzalari va daryolarda 40 dan ko‘proq odam cho‘kib ketdi 20:50 / 01.03.2017","88","749","8.9","6.35","0.494","0.481"
"kun.uz","Piskentda dalahovlida giyohvandlik o‘simliklarini yetishtirayotgan shaxs fosh bo‘ldi.","https://kun.uz/news/2026/07/11/piskentda-dalahovlida-giyohvandlik-osimliklarini-yetishtirayotgan-shaxs-fosh-boldi-d41076","1","Piskentda dalahovlida giyohvandlik o‘simliklarini yetishtirayotgan shaxs fosh bo‘ldi U uyining yuqori qavati va tom qismida tarkibida giyohvandlik vositasi bo‘lgan o‘simliklarni yetishtirib kelgan. Toshkent viloyati Piskent tumanidagi Bog‘dorchilik-uzumchilik shirkati hududida mavjud dalahovlilar, hududiy profilaktika inspektori va tezkor xodimlar tomonidan nazorat tartibida o‘rganildi. O‘rganish davomida xonadonlardan birida yashovchi fuqaro S.T. uyining yuqori qavati va tom qismida tarkibida giyohvandlik vositasi bo‘lgan o‘simliklarni yetishtirib kelayotganligi aniqlandi. Mazkur holat yuzasidan tuman IIB tomonidan unga nisbatan jinoyat ishi qo‘zg‘atilib, tergov harakatlari olib borilmoqda. Mavzuga oid 09:50 / 12.06.2026 Ichki kiyimga yashirilgan giyohvandlik moddasi saqlovchi kapsulalar aniqlandi 11:40 / 08.06.2026 Toshkent va Xorazmda yirik giyohvandlik savdosiga chek qo‘yildi 16:45 / 16.03.2026 Xizmat burchini bajarayotib vafot etgan bekobodlik xodimga ham uy beriladimi? 20:38 / 25.02.2026","117","1008","7.44","6.77","0.529","0.481"
"uza.uz","Xoland: “Angliyani mag‘lub etishga juda yaqin edik”","https://uza.uz/uz/posts/xoland-angliyani-maglub-etishga-juda-yaqin-edik_881722","1","Xoland: “Angliyani mag‘lub etishga juda yaqin edik” Braziliyaga qarshi o‘yinda vaziyatni o‘z foydamizga o‘zgartira olgandik. Norvegiya terma jamoasi hujumchisi Erling Xoland JCH–2026 chorak finalida Angliyaga 1:2 hisobida mag‘lub bo‘lgan uchrashuvdan so‘ng o‘z hissiyotlari bilan o‘rtoqlashdi. “Rostini aytsam, hislar juda og‘ir. Menimcha, biz bundan ko‘prog‘iga loyiq edik va Angliyani mag‘lub etishga juda yaqin kelgandik. Ichimda qandaydir bo‘shliq bor, ammo shu bilan birga faxr ham bor. Axir biz chorak finalgacha yetib keldik va Angliyaga haqiqiy kurash taklif qildik. Hissiyotlarim juda aralash”. — Hal qiluvchi vaziyatlardagi ikkita bahsli hakamlik qaroriga qanday qaraysiz? “Ba’zida jahon chempionati taqdiri bitta-ikkita epizod bilan hal bo‘ladi. Braziliyaga qarshi o‘yinda vaziyatni o‘z foydamizga o‘zgartira olgandik.","106","829","12.4","5.45","0.411","0.485"
