"source","title","url","chunk_id","text","word_count","length","avg_sentence_len","avg_word_len","rare_word_ratio","complexity_score"
"wikipedia","Iqtisodiy statistika","https://uz.wikipedia.org/wiki/Iqtisodiy_statistika","3","Ay-rim hollarda matematik statistika usullaridan foydalaniladi. Oʻzbekistonda I.s. amaliyoti bilan alohida vazirlik — Makroiqtisodiyot va statistika vazirligi va uning viloyat, shahar va tuman boʻlimlari shugʻullanadi.","25","218","6.5","7.19","0.231","0.389"
"kun.uz","Bektemir tumanida «zakladchik»lar qo‘lga olindi.","https://kun.uz/news/2026/07/11/bektemir-tumanida-zakladchiklar-qolga-olindi-5b0a3b","2","Mazkur holatlar yuzasidan jinoyat ishi qo‘zg‘atildi. Gumonlanuvchilarga nisbatan qamoqqa olish ehtiyot chorasi qo‘llanildi. Mavzuga oid 11:10 / 01.07.2026 Toshkentda Tracker va BYD ishtirokida YTH sodir bo‘ldi 18:59 / 09.05.2026 Toshkentda o‘yinchoq mashinada avtomobil yo‘lida harakatlangan bolaning otasi javobgarlikka tortildi 12:52 / 02.03.2026 Bektemir tumanida piyoda ishtirokida YTH sodir bo‘ldi 13:01 / 03.02.2026","52","421","4.27","6.32","0.447","0.392"
"wikipedia","Kattatepa","https://uz.wikipedia.org/wiki/Kattatepa","1","Kattatepa — oʻrta asr shahar harobasi (7—XII asrlar). Sherobod (Surxondaryo viloyati)dan 7 km. jan.-gʻarbda joylashgan. Mayd. 20 ga. Surxondaryo viloyatidagi ilk oʻrta asrlarga oid eng yirik shahar harobasi hisoblanadi. K. 3 qism va raboddan iborat boʻlib, ularning barchasi mudofaa devori bilan oʻrab olingan. Bu yerdan VII asr oxiri — VIII asr 1-yarmiga oid sopol parchalari topilib, ularda Qurʼon oyatlari bitilgan. E. V. Rtveladzening fikricha, K. oʻrnida ilk oʻrta asrlarda Xushvarogʻ sh. joylashgan. Xushvarogʻ atrofi 3 qator mudofaa devorlari bilan oʻralgan yirik shahar boʻlib, arablar istilosidan avval Sheroboddaryo havzasidagi Kufton rustoqining markazi hisoblangan. 5—VIII asrlarda shaharning oʻz zarbxonasi boʻlib, faqat Sheroboddaryo havzasida muomalada boʻlgan kumush va mis tangalar zarb etilgan.","109","812","6.18","6.32","0.352","0.394"
"wikipedia","Degreztepa","https://uz.wikipedia.org/wiki/Degreztepa","1","Degreztepa — shahar harobasi (1 — 5—VIII asrlar). Surxondaryo viloyati Oltin-soy tumani Degrez suv omborining jan.-gʻarbida. Toʻgʻri toʻrtburchak tarxli. Mayd. 6 ga dan ortiq. Mudofaa devorlarining qoldiklari tepaliklar (eni 10 m, boʻyi 4 m) sifatida saqlanib qolgan. Burchaklar minoralar bilan himoyalangan. 3 ta darvozasi boʻlgan. Shahar arkining atrofi xandaq bilan oʻralgan. Kushonlar davri va ilk oʻrta asrlarga oid sopol idishlar topilgan.","61","445","5.09","6.38","0.429","0.401"
"uza.uz","Tomas Tuxel: “Natijadan xursandman, ammo o‘yinimizdan emas”","https://uza.uz/uz/posts/tomas-tuxel-natijadan-xursandman-ammo-oyinimizdan-emas_881724","2","Bizda shunchalik kuchli xarakter borki, uni hatto shishaga quyib sotish ham mumkin. Ammo futbol sifati bundan ancha yuqori bo‘lishi shart. Ris Jeyms ajoyib o‘yin ko‘rsatdi. Morgan Rodjers ham juda yaxshi harakat qildi. Eberechi Eze va Jed Spens o‘yin davomida o‘zlarini ko‘rsatib, maqtovga loyiq bo‘ldi. Jud Bellingem haqida esa ortiqcha gapirishning hojati yo‘q. U deyarli har bir uchrashuvda shunday o‘ynayapti. U — jahon darajasidagi futbolchi. Yarim finalga qadar yanada kuchayishimiz kerak. Hozir esa bu muvaffaqiyatni nishonlash va undan zavq olish vaqti. Oldinda uch kunlik tayyorgarlik bor va bizga barcha kuchimiz kerak bo‘ladi"", — dedi Tuxel. Eslatib o‘tamiz, Angliya Norvegiyani Jud Bellingemning dubli evaziga 2:1 hisobida mag‘lub etdi. Yarim finalda inglizlar Argentina — Shveytsariya juftligi g‘olibiga qarshi maydonga tushadi.","117","841","9.69","5.46","0.286","0.405"
"kun.uz","“Och qolmaslik uchun vayner bo‘ldik” – “Turtki” podkastida bir dard birlashtirgan uchlik.","https://kun.uz/news/2026/07/11/och-qolmaslik-uchun-vayner-boldik-turtki-podkastida-bir-dard-birlashtirgan-uchlik","5","Shahzoda Albayevaning asl kasbi iqtisodchi. Komila Murodova esa hamshira bo‘lib ishlagan. Jamoa tasvirchisi va montaj ustasi Fotima opaning 17 yoshli o‘g‘li Mahmud. Ssenariy muallifi va ma’mur Shahzoda. U “Fotima opaning tajribasiga suyanaman” - demoqda. San’at sohasida ta’lim olmagan Shahzoda va Komilada aktrisa bo‘lib mashhurlikka erishish istagi bolaligidanoq paydo bo‘lgan ekan. Jamoani jam qilgan sardor bu Fotima opa Nazarova. “Bobur Mansurovga borib yurganimda, birinchi Shahzodani ko‘rganman. Mana shu qiz zo‘r dedim ularga aytdim-da. “Yomon” tipaj dedim. Shunaqa qilib, keyin Komila biz bilan ishlaysanmi desam, Rahmiddin bilan ishlardi. Ha, dedi. Shu bilan Boburlar, mayli, sizga bo‘lsa mayli opa dedi. Keyin Shahzodani ham Bobur Mansurovda ko‘rdim.","103","761","8.14","5.42","0.377","0.406"
"uza.uz","Енгил атлетикачиларимиз Осиё чемпионатида умумжамоада иккинчи ўринда","https://uza.uz/uz/posts/engil-atletikachilarimiz-osiyo-chempionatida-umumzhamoada-ikkinchi-orinda_881750","2","Умумжамоа ҳисобида Хитой терма жамоаси 19 та олтин, 12 кумуш ва 5 та бронза медали билан етакчилик қилмоқда. 2-ўринда бораётган Ўзбекистон терма жамоаси ҳисобида 3 та олтин, 5 та кумуш, 4 та бронза медаллари мавжуд. 3 тадан олтин ва кумуш, 1 та бронза медалига эга Япония терма жамоаси аъзолари кучли учликка якун ясаган. Бугун, 12 июль куни чемпионатнинг сўнгги кунги мусобақалари бўлиб ўтади. Т.Рўзиев, ЎзА","65","408","9.5","5.6","0.298","0.409"
"wikipedia","Anatomiya","https://uz.wikipedia.org/wiki/Anatomiya","6","N. Xolqoʻziyev vegeta-tiv nerv sistemasi A. sini, N. K. Ahmedov periferik nerv sistemasiga rentgen nurlarining taʼsirini oʻrgandilar. Olimlardan S. Sh. Shahrbiddinov, A. T. Okdlov, F. N. Bahodirov, N. A. Ibodov, I. K. Qosimxoʻjayevlar ham Anatomiya rivojlanishiga munosib hissa qoʻshdilar. Hozir A.ning dolzarb masalalari — jigar, tomirlarning normal va regeneratsiya sharoitidagi oʻzgarishlari hamda nervlarning tiklanishi va periferik qon aylanishi ustida ilmiy izlanishlar olib borilmoqda. Boshqa boʻlimlar ichida, odam anatomiyasi eng kerakli anatomiya boʻlimi hisoblanadi. Tibbiyot nuqtai nazaridan, odam anatomiyasi sogʻlom insonning badan qismlarini shaklini, badanda joylashishini, katta-kichikligini va boshqa qismlar bilan aloqadorligini oʻrganuvchi boʻlimdir. Topografik anatomiyada bir qancha jasadlarni kesib, uni yaxshilab oʻrganiladi.","102","849","4.95","6.86","0.423","0.412"
"wikipedia","Abu Rayhon Beruniy","https://uz.wikipedia.org/wiki/Abu_Rayhon_Beruniy","4","Bu davrda Xorazmda oʻzgarishlar boʻlib, Maʼmun vafot etib, uning oʻrniga Ali ibn Maʼmun taxtga chiqqan edi. 997-yilda mashhur tabib Abu Ali Ibn Sino ham Urganchga keladi. 998-yil Beruniy Jurjonga keldi. U Jurjonda 1004-yilgacha yashaydi. Oʻzining oʻn beshga yaqin asarini shu yerda yaratdi. Jumladan, olimning „Qadimgi xalqlardan qolgan yodgorliklar“ asari 1000-yil atrofida shu yerda yozilgan. 1004-yilning bahorida Beruniy Xorazmga qaytdi. Bu vaqtda Xorazmning poytaxti Urganj edi. Urganchda u Oy tutilishini kuzatdi. Saroyda al-Masihiy, tabib al-Hammar, Ibn Iroq va boshqalar ishlar edilar. Urganjda Beruniy matematika, astronomiya bilan bir qatorda fizika va mineralogiyaning baʼzi masalalari bilan shugʻullandi. Minerallarni aniqlash, ularni tizimga solishda solishtirma ogʻirliklardan foydalanish gʻoyasi ham mana shu yerda tugʻildi. 1017-yilning yozida turkiy podsho Mahmud Gʻaznaviyning buyrugʻiga koʻra Beruniy asir sifatida Gʻaznaga olib ketildi.","122","956","9.54","6.31","0.242","0.415"
"wikipedia","Islomiy qabul qilish","https://uz.wikipedia.org/wiki/Islomiy_qabul_qilish","4","Britaniyada yiliga taxminan 6,000 kishi Islomga kiradi, va koʻpchilik yangi konvertlar ayollar. Huffington Postga koʻra, AQShda yiliga 20,000 kishi Islomni qabul qiladi. Filippinda 2011-yilda taxminan 220,000 kishi Islomga qaytdi, bu jarayon Balik Islam deb ataladi. Britaniyada 2013-yilda yiliga 5,000 kishi Islomga kirgan, koʻpchiligi ayollar.","44","345","10.0","6.53","0.2","0.416"
"kun.uz","O‘qishni ko‘chirish bo‘yicha turdosh bakalavriat yo‘nalishlari ro‘yxati tasdiqlandi.","https://kun.uz/news/2026/07/12/oqishni-kochirish-boyicha-turdosh-bakalavriat-yonalishlari-royxati-tasdiqlandi-e4cdd6","1","O‘qishni ko‘chirish bo‘yicha turdosh bakalavriat yo‘nalishlari ro‘yxati tasdiqlandi Yo‘nalishlar jami 34 ta turdosh guruhlarga ajratildi. 2026/2027-o‘quv yili uchun talabalar o‘qishini ko‘chirish (ko‘chirib tiklash) bo‘yicha turdosh bakalavriat yo‘nalishlari ro‘yxati tasdiqlandi. Yo‘nalishlar jami 34 ta turdosh guruhlarga ajratildi. Ma’lumot uchun, ko‘chirish yoki qayta tiklashga ariza topshirganlarning ilgari ta’lim olgan yo‘nalishlari (mutaxassisliklari) amaldagi klassifikatorga muvofiqlashtirgan holda inobatga olinadi. Avvalroq xorijiy va nodavlat oliy ta’lim tashkilotlaridan o‘qishni ko‘chirish bo‘yicha maxsus sinovlar uchun ta’lim sohalari va yo‘nalishlari kesimida o‘tish ballari tasdiqlangandi. Mavzuga oid 09:36 / 09.07.2026 O‘qishni ko‘chirish: yo‘nalishlar kesimida o‘tish ballari tasdiqlandi 13:01 / 09.01.2026 Davlat stipendiyalarini tayinlash tartibiga o‘zgartirishlar kiritildi 15:20 / 29.12.2025 Tibbiyot xodimlari farzandlariga kontraktning 30 foiz qismi qoplab beriladi 23:49 / 25.07.2025","112","1013","9.07","6.15","0.299","0.419"
"kun.uz","“Och qolmaslik uchun vayner bo‘ldik” – “Turtki” podkastida bir dard birlashtirgan uchlik.","https://kun.uz/news/2026/07/11/och-qolmaslik-uchun-vayner-boldik-turtki-podkastida-bir-dard-birlashtirgan-uchlik","10","Hali kamchiliklari rosa ko‘p. Men bo‘lmasa, karta qo‘yinglar, menga yordam beringlar deganim yo‘q xalqqa. Shunchaki hayotimni gapirib berdim, xolos. Rahmi kelib, shunaqa yaxshi insonlar bor ekan. Keyin 5000 dollar yig‘ildi. Shu sabab bo‘ldi. 5000 dollarga betonini quydim. Keyin bu yog‘i yana xayr-ehson, reklamalar, barterlar, xullas uy bitdi. Men haqimda, mening oilam, bolalarim haqida yaxshi duoda bo‘lganlardan ilohim, Alloh rozi bo‘lsin, ikki dunyo saodatini bersin.” “Bir tiyinga olishmagan” “Xalqqa tanilmasimdan oldin, lekin rosa yerga urishgan, uni bilaman. Endi uni aytib o‘tirishim shart emas. Muqimiy teatrida ishlaganman. Ko‘p joylarda bo‘lganman. Bir tiyinga olishmagan. Ana endi hozir yuzaga chiqqandan keyin olishyapti, mayli. Shunaqa.","100","752","6.94","5.39","0.486","0.419"
"wikipedia","Leonid Abalkin","https://uz.wikipedia.org/wiki/Leonid_Abalkin","1","Leonid Ivanovich Abalkin (1930-yil 5-may, Moskva — 2011-yil 2-may, Moskva) — sovet va rus iqtisodchisi, SSSR FA akademigi (1987), RFA. SSSR Ministrlar Soveti raisining oʻrinbosari boʻlgan. MDUda xizmat koʻrsatgan professor (2001). 1986—1989-yillarda va 1991—2005-yillarda SSSR FA/RFA Iqtisodiyot instituti direktori. Berlin-Brandenburg FA xorijiy aʼzosi. Buxgalterlar Ivan Aleksandrovich (1894-1966) va Zoya Ivanovna (1896—1976) Abalkinlar oilasida dunyoga kelgan. Otasining akasi N. A. Abalkin „Pravda“ gazetasining adabiyot va sanʼat boʻlimi mudiri edi"". 1948-yilda G. V. Plexanov nomidagi Moskva xalq xoʻjaligi institutiga oʻqishga kirdi va uni 1952-yilda imtiyozli diplom bilan tamomladi. Oʻsha yildan boshlab Kaliningrad viloyati Gusev shahridagi Qishloq xoʻjaligi texnikumida dars bergan, oʻquv ishlari boʻyicha direktor oʻrinbosari boʻlgan.","104","847","7.69","6.39","0.35","0.42"
"kun.uz","“Och qolmaslik uchun vayner bo‘ldik” – “Turtki” podkastida bir dard birlashtirgan uchlik.","https://kun.uz/news/2026/07/11/och-qolmaslik-uchun-vayner-boldik-turtki-podkastida-bir-dard-birlashtirgan-uchlik","9","Vaqtida, aytaman, to‘rtta chaqaloq. To‘rt o‘ram taglik, to‘rt quti bo‘tqa deganida bu arzon narsa emas. Buni boshga tushganlar biladi. Bitta bo‘tqa va taglik olsak, ikki kunga yetadi. Mana bugun olsam, bugun xursand bo‘laman, ertaga yediraman, indiniga yana o‘ylanishim kerak. U bo‘tqa qurg‘ur ham arzon narsa emas. O‘sha paytlar Fotima opa aytmoqchi, ertaga nima qilaman degan qo‘rquv bor edi. Keyin o‘zimni o‘zim kasal qilaman qarasam. O‘sha qo‘rquvni qo‘yib yuborganimdan keyin hayotim shunaqa yaxshilanib ketdi, ishoning. Insonlar o‘sha qo‘rquvni qo‘yib yuborish kerak o‘zidan.” “5000 dollar yig‘ildi” Fotima Nazarova uzoq yillar davomida o‘z uyi bo‘lishini orzu qilib yashagan. Xalqning yordami bilan bugun vatanli bo‘ldim demoqda suhbatdoshimiz. “Allohga shukur, 30 yil deganda mana shu uyni qurib oldim.","113","810","10.46","4.71","0.375","0.421"
"kun.uz","Angliya Norvegiyani turnirdan chiqarib yubordi.","https://kun.uz/news/2026/07/12/angliya-norvegiyani-turnirdan-chiqarib-yubordi","7","Ammo yana VAR vaziyatga aralashdi va penalti bekor qilindi: bu vaziyatda inglizlar himoyachisi qasddan penalti ishlash uchun harakat qilgan deb topildi. Birinchi qo‘shimcha bo‘limdan keyin Solbakken Holandni o‘yindan olib tashladi, Erlingda o‘yinni davom ettirish uchun kuch qolmagani ko‘rinib turardi. O‘z yetakchisisiz qolgan norveglar esa qolgan daqiqalarda hech narsani o‘zgartira olmadi. Faqat Nyulandning bir hujumning o‘zida ikkita zarbani qaytarishi o‘yin oxirigacha intriga saqlanib turishini ta’minladi. Norvegiya jahon chempionatini mardonavor tark etdi, Angliya esa uzoq kutilgan chempionlik uchun yurishini davom ettiradi. Mavzuga oid 14:50 / 11.07.2026 JCh anonsi. Holand Keynga qarshi, Argentinada ilk jiddiy raqib 21:10 / 09.07.2026 Tungi futbol tomoshasi vazn ortishiga olib kelishi mumkin - tadqiqot 10:18 / 08.07.2026 JCh kundaligi. Messida rekord va antirekord, Shveytsariya kuchli sakkizlikda 17:30 / 07.07.2026","121","932","7.38","6.14","0.407","0.424"
"gazeta.uz","2026 йилнинг биринчи ярмида Ўзбекистонда иш жойида 447 та бахтсиз ҳодиса содир бўлди, 137 киши ҳалок бўлди","https://www.gazeta.uz/uz/2026/07/10/accidents/","3","Эслатиб ўтамиз, 2026 йил 1-чорагида Ўзбекистонда меҳнат фаолияти билан боғлиқ 198 та бахтсиз ҳодиса содир бўлган эди. 62 киши вафот этиб, 146 нафари оғир жароҳатланган. Энг кўп ҳодисалар Тошкент шаҳрида ва Сурхондарё вилоятида қайд этилган. Ҳолатларнинг асосий қисми саноат ва қурилиш тармоқларига тўғри келган. Аввалроқ Тошкентнинг Яшнобод туманида 25 ёшли йигит бетон плита босиб қолиши оқибатида ҳалок бўлган эди. Бахтсиз ҳодиса қурилиш объектида иш вақтида содир бўлган.","67","474","10.33","6.19","0.258","0.429"
"wikipedia","Datchik","https://uz.wikipedia.org/wiki/Datchik","1","Datchik (ruscha), birlamchi oʻzgartirgich — oʻlchanayotgan fizik kattalik (bosim, temperatura, elektr kuchlanish, siljish va b.)ni uzatish, unga ishlov berish va qayd qilish uchun signal (odatda, elektr signal)ga aylantirib beradigan vosita. Oʻlchash, signal yoki rostlash qurilmalari tizimining muhim qismi; sezgir elementi tekshirilayotgan miqdorlar (bosim, temperatura, tezlik, yorugʻlik kuchi, elektr toki, kuchlanish va b.) taʼsirini sezadi. Ishi elektr qarshiligi, sigʻim, induktivlikka, shuningdek, nazorat qilinadigan mexanik, akustik, issiqlik, elektr, optik, magnit kattaliklar taʼsir etganda elektr yurituvchi kuch (e. yu. k.) hosil boʻlishiga asoslangan D.lar (sigim datchigi, induktiv D., induksion D. va hokazo) keng tarqalgan. Elektr zanjirlarida kontaktlarning ulanib-uzilishiga asoslangan D.lar (kontakt datchigi) va elektr mashina D.lari ham bor.","105","864","7.86","6.42","0.373","0.43"
"uza.uz","Tomas Tuxel: “Natijadan xursandman, ammo o‘yinimizdan emas”","https://uza.uz/uz/posts/tomas-tuxel-natijadan-xursandman-ammo-oyinimizdan-emas_881724","1","Tomas Tuxel: “Natijadan xursandman, ammo o‘yinimizdan emas” Jud Bellingem jahon darajasidagi futbolchi. Angliya terma jamoasi bosh murabbiyi Tomas Tuxel JCH–2026 chorak finalida Norvegiya ustidan qozonilgan 2:1 hisobidagi g‘alabadan so‘ng jamoasining o‘yinini keskin tanqid qildi. ""Men hech qachon “biz azob chekdik” demaganman. Bugun muammolarni o‘zimiz yaratdik. Natija ajoyib — biz turnirning eng kuchli to‘rt jamoasi qatoriga kirdik. Bu katta yutuq, ammo o‘yinimizdan umuman qoniqmadim. Futbolchilarning ishtiyoqi va fidoyiligi yuqori darajada edi. Lekin maydonda juda ko‘p ehtiyotsizlik, texnik xatolar, past tezlik va barqarorlik yetishmasligi kuzatildi. Bugun omad biz tomonda bo‘ldi. Bu mentalitet bilan bog‘liq muammo emas. Aksincha, aynan xarakterimiz bizga g‘alaba keltirdi.","100","785","9.91","5.91","0.321","0.432"
